Bezirk;Anzahl;Anzahl Inzidenz;GKZ;Timestamp
Amstetten;300;258,3667775;305;2020-06-16T19:00:00
Baden;187;127,9043522;306;2020-06-16T19:00:00
Bludenz;258;404,9345513;801;2020-06-16T19:00:00
Braunau am Inn;133;127,3848747;404;2020-06-16T19:00:00
Bregenz;279;207,6155466;802;2020-06-16T19:00:00
Bruck an der Leitha;116;113,7143417;307;2020-06-16T19:00:00
Bruck-Mürzzuschlag;52;52,53374283;621;2020-06-16T19:00:00
Deutschlandsberg;49;80,56427879;603;2020-06-16T19:00:00
Dornbirn;156;175,2001887;803;2020-06-16T19:00:00
Eferding;53;159,8504042;405;2020-06-16T19:00:00
Eisenstadt(Stadt);19;129,8080208;101;2020-06-16T19:00:00
Eisenstadt-Umgebung;23;53,57933235;103;2020-06-16T19:00:00
Feldkirch;214;199,7032447;804;2020-06-16T19:00:00
Feldkirchen;15;50,10522096;210;2020-06-16T19:00:00
Freistadt;120;180,1233845;406;2020-06-16T19:00:00
Gänserndorf;105;101,2672878;308;2020-06-16T19:00:00
Gmünd;14;38,07141109;309;2020-06-16T19:00:00
Gmunden;73;71,82847753;407;2020-06-16T19:00:00
Graz(Stadt);471;163,0852545;601;2020-06-16T19:00:00
Graz-Umgebung;248;160,7675353;606;2020-06-16T19:00:00
Grieskirchen;74;114,3369231;408;2020-06-16T19:00:00
Güssing;24;93,03407373;104;2020-06-16T19:00:00
Hallein;71;117,6002915;502;2020-06-16T19:00:00
Hartberg-Fürstenfeld;318;350,908168;622;2020-06-16T19:00:00
Hermagor;5;27,43634767;203;2020-06-16T19:00:00
Hollabrunn;39;76,68410083;310;2020-06-16T19:00:00
Horn;63;202,637504;311;2020-06-16T19:00:00
Imst;294;489,5430931;702;2020-06-16T19:00:00
Innsbruck-Land;391;218,0483833;703;2020-06-16T19:00:00
Innsbruck-Stadt;410;310,3474377;701;2020-06-16T19:00:00
Jennersdorf;10;58,59603891;105;2020-06-16T19:00:00
Kirchdorf an der Krems;44;77,3748813;409;2020-06-16T19:00:00
Kitzbühel;369;577,6365429;704;2020-06-16T19:00:00
Klagenfurt Land;43;71,90635452;204;2020-06-16T19:00:00
Klagenfurt Stadt;91;90,26255493;201;2020-06-16T19:00:00
Korneuburg;179;196,9435245;312;2020-06-16T19:00:00
Krems an der Donau(Stadt);41;164,8174948;301;2020-06-16T19:00:00
Krems(Land);160;282,7054916;313;2020-06-16T19:00:00
Kufstein;524;477,744753;705;2020-06-16T19:00:00
Landeck;992;2236,148055;706;2020-06-16T19:00:00
Leibnitz;183;221,8612094;610;2020-06-16T19:00:00
Leoben;25;41,62504163;611;2020-06-16T19:00:00
Lienz;153;313,8268414;707;2020-06-16T19:00:00
Liezen (inkl. Gröbming);89;111,3878425;612;2020-06-16T19:00:00
Lilienfeld;51;197,5825198;314;2020-06-16T19:00:00
Linz(Stadt);326;158,4631986;401;2020-06-16T19:00:00
Linz-Land;216;143,7383961;410;2020-06-16T19:00:00
Mattersburg;53;132,7489042;106;2020-06-16T19:00:00
Melk;173;221,9029784;315;2020-06-16T19:00:00
Mistelbach;147;194,7458368;316;2020-06-16T19:00:00
Mödling;194;163,02795;317;2020-06-16T19:00:00
Murau;7;25,30821794;614;2020-06-16T19:00:00
Murtal;32;44,44197545;620;2020-06-16T19:00:00
Neunkirchen;199;230,615012;318;2020-06-16T19:00:00
Neusiedl am See;56;94,0354648;107;2020-06-16T19:00:00
Oberpullendorf;24;63,97782102;108;2020-06-16T19:00:00
Oberwart;134;247,7993934;109;2020-06-16T19:00:00
Perg;262;382,7108196;411;2020-06-16T19:00:00
Reutte;57;174,4719927;708;2020-06-16T19:00:00
Ried im Innkreis;45;73,52460623;412;2020-06-16T19:00:00
Rohrbach;154;272,4506404;413;2020-06-16T19:00:00
Salzburg(Stadt);134;86,89393104;501;2020-06-16T19:00:00
Salzburg-Umgebung;202;132,6495098;503;2020-06-16T19:00:00
Sankt Johann im Pongau;434;538,6419768;504;2020-06-16T19:00:00
Sankt Pölten(Land);270;206,0376667;319;2020-06-16T19:00:00
Sankt Pölten(Stadt);92;167,1390161;302;2020-06-16T19:00:00
Sankt Veit an der Glan;53;97,14966548;205;2020-06-16T19:00:00
Schärding;58;101,2092764;414;2020-06-16T19:00:00
Scheibbs;103;248,7742434;320;2020-06-16T19:00:00
Schwaz;352;419,6821385;709;2020-06-16T19:00:00
Spittal an der Drau;42;55,19706667;206;2020-06-16T19:00:00
Steyr(Stadt);63;164,9516927;402;2020-06-16T19:00:00
Steyr-Land;182;301,1898655;415;2020-06-16T19:00:00
Südoststeiermark;62;72,13748007;623;2020-06-16T19:00:00
Tamsweg;22;108,2677165;505;2020-06-16T19:00:00
Tulln;178;171,5315454;321;2020-06-16T19:00:00
Urfahr-Umgebung;282;329,8052745;416;2020-06-16T19:00:00
Villach Land;48;74,22527371;207;2020-06-16T19:00:00
Villach Stadt;25;40,16515913;202;2020-06-16T19:00:00
Vöcklabruck;108;79,26430978;417;2020-06-16T19:00:00
Voitsberg;106;207,1890698;616;2020-06-16T19:00:00
Völkermarkt;54;128,945986;208;2020-06-16T19:00:00
Waidhofen an der Thaya;73;281,9839308;322;2020-06-16T19:00:00
Waidhofen an der Ybbs(Stadt);25;222,0051505;303;2020-06-16T19:00:00
Weiz;201;222,4854167;617;2020-06-16T19:00:00
Wels(Stadt);58;93,96212354;403;2020-06-16T19:00:00
Wels-Land;80;109,4481079;418;2020-06-16T19:00:00
Wien(Stadt);3568;188,0377825;900;2020-06-16T19:00:00
Wiener Neustadt(Land);88;112,8335321;323;2020-06-16T19:00:00
Wiener Neustadt(Stadt);56;123,6831062;304;2020-06-16T19:00:00
Wolfsberg;43;81,55369268;209;2020-06-16T19:00:00
Zell am See;362;413,894034;506;2020-06-16T19:00:00
Zwettl;73;172,8956468;325;2020-06-16T19:00:00
